district,divisional_secretariat,gn_division
Colombo,Colombo,Sammanthranapura
Colombo,Colombo,Mattakkuliya
Colombo,Colombo,Modara
Colombo,Colombo,Madampitiya
Colombo,Colombo,Mahawatta
Colombo,Colombo,Aluthmawatha
Colombo,Colombo,Lunupokuna
Colombo,Colombo,Bloemendhal
Colombo,Colombo,"Kotahena East"
Colombo,Colombo,"Kotahena West"
Colombo,Colombo,"Kochchikade North"
Colombo,Colombo,Jinthupitiya
Colombo,Colombo,Masangasweediya
Colombo,Colombo,"New Bazaar"
Colombo,Colombo,"Grandpass South"
Colombo,Colombo,"Grandpass North"
Colombo,Colombo,Nawagampura
Colombo,Colombo,"Maligawatta East"
Colombo,Colombo,Khettarama
Colombo,Colombo,"Aluthkade East"
Colombo,Colombo,"Aluthkade West"
Colombo,Colombo,"Kochchikade South"
Colombo,Colombo,Pettah
Colombo,Colombo,Fort
Colombo,Colombo,"Galle Face"
Colombo,Colombo,"Slave Island"
Colombo,Colombo,Hunupitiya
Colombo,Colombo,Suduwella
Colombo,Colombo,Keselwatta
Colombo,Colombo,Panchikawatta
Colombo,Colombo,"Maligawatta West"
Colombo,Colombo,Maligakanda
Colombo,Colombo,Maradana
Colombo,Colombo,Ibbanwala
Colombo,Colombo,Wekanda
Colombo,Kolonnawa,Wadulla
Colombo,Kolonnawa,Sedawatta
Colombo,Kolonnawa,Halmulla
Colombo,Kolonnawa,Kotuvila
Colombo,Kolonnawa,Veheragoda
Colombo,Kolonnawa,Orugodawatta
Colombo,Kolonnawa,Meethotamulla
Colombo,Kolonnawa,Welewatta
Colombo,Kolonnawa,Kittampahuwa
Colombo,Kolonnawa,Wennawatta
Colombo,Kolonnawa,"Maha Buthgamuwa B"
Colombo,Kolonnawa,"Kuda Buthgamuwa"
Colombo,Kolonnawa,Kelanimulla
Colombo,Kolonnawa,Ambathale
Colombo,Kolonnawa,"Mulleriyawa North"
Colombo,Kolonnawa,Belagama
Colombo,Kolonnawa,"Kotikawatta East"
Colombo,Kolonnawa,"Maha Buthgamuwa A"
Colombo,Kolonnawa,"Maha Buthgamuwa C"
Colombo,Kolonnawa,Wellampitiya
Colombo,Kolonnawa,Kuruniyawatta
Colombo,Kolonnawa,Kolonnawa
Colombo,Kolonnawa,Dahampura
Colombo,Kolonnawa,Singhapura
Colombo,Kolonnawa,"Megoda Kolonnawa"
Colombo,Kolonnawa,Bopetta
Colombo,Kolonnawa,Batalandahena
Colombo,Kolonnawa,"Kotikawatta West"
Colombo,Kolonnawa,"Mulleriyawa South"
Colombo,Kolonnawa,Malgama
Colombo,Kolonnawa,"Udumulla North"
Colombo,Kolonnawa,Maligagodella
Colombo,Kolonnawa,Rajasinghagama
Colombo,Kolonnawa,"Udumulla South"
Colombo,Kolonnawa,"Himbutana East"
Colombo,Kolonnawa,"Himbutana West"
Colombo,Kolonnawa,Malpura
Colombo,Kolonnawa,"Gothatuwa New Town"
Colombo,Kolonnawa,Kajugahawatta
Colombo,Kolonnawa,Gothatuwa
Colombo,Kolonnawa,Salamulla
Colombo,Kolonnawa,Wijayapura
Colombo,Kolonnawa,Gajabapura
Colombo,Kolonnawa,Madinnagoda
Colombo,Kolonnawa,Elhena
Colombo,Kolonnawa,Dodamgahahena
Colombo,Kaduwela,Welivita
Colombo,Kaduwela,Raggahawatta
Colombo,Kaduwela,Hewagama
Colombo,Kaduwela,Kaduwela
Colombo,Kaduwela,"Pahala Bomiriya"
Colombo,Kaduwela,"Ihala Bomiriya"
Colombo,Kaduwela,Wekewatta
Colombo,Kaduwela,Nawagamuwa
Colombo,Kaduwela,"Pahala Bomiriya B"
Colombo,Kaduwela,Welihinda
Colombo,Kaduwela,Kothalawala
Colombo,Kaduwela,Mahadeniya
Colombo,Kaduwela,"Thalahena North"
Colombo,Kaduwela,"Malabe North"
Colombo,Kaduwela,Thunadahena
Colombo,Kaduwela,Koratota
Colombo,Kaduwela,"Nawagamuwa South"
Colombo,Kaduwela,Batewela
Colombo,Kaduwela,Ranala
Colombo,Kaduwela,Dedigamuwa
Colombo,Kaduwela,Embilladeniya
Colombo,Kaduwela,Welipillewa
Colombo,Kaduwela,Shanthalokagama
Colombo,Kaduwela,Pore
Colombo,Kaduwela,"Malabe East"
Colombo,Kaduwela,"Malabe West"
Colombo,Kaduwela,"Thalangama North B"
Colombo,Kaduwela,"Thalahena South"
Colombo,Kaduwela,"Muttettugoda "
Colombo,Kaduwela,"Thalangama North A"
Colombo,Kaduwela,Walpola
Colombo,Kaduwela,Kalapaluwawa
Colombo,Kaduwela,Kotuwegoda
Colombo,Kaduwela,Subhoothipura
Colombo,Kaduwela,Udumulla
Colombo,Kaduwela,"Battaramulla North"
Colombo,Kaduwela,Batapotha
Colombo,Kaduwela,Pothuarawa
Colombo,Kaduwela,"Hokandara North"
Colombo,Kaduwela,Oruwala
Colombo,Kaduwela,Athurugiriya
Colombo,Kaduwela,Thaldiyawala
Colombo,Kaduwela,Boralugoda
Colombo,Kaduwela,"Hokandara East"
Colombo,Kaduwela,"Arangala "
Colombo,Kaduwela,Evarihena
Colombo,Kaduwela,Kumaragewatta
Colombo,Kaduwela,Jayawadanagama
Colombo,Kaduwela,Aruppitiya
Colombo,Kaduwela,"Asiri Uyana"
Colombo,Kaduwela,"Battaramulla South"
Colombo,Kaduwela,Rajamalwatta
Colombo,Kaduwela,Pahalawela
Colombo,Kaduwela,Wickramasinghapura
Colombo,Kaduwela,Wellangiriya
Colombo,Kaduwela,"Hokandara South"
Colombo,Kaduwela,"Athurugiriya South"
Colombo,Homagama,Jalthara
Colombo,Homagama,Henpita
Colombo,Homagama,"Atigala West"
Colombo,Homagama,"Atigala East"
Colombo,Homagama,Batawala
Colombo,Homagama,Walpita
Colombo,Homagama,Nawalamulla
Colombo,Homagama,Meegasmulla
Colombo,Homagama,"Habarakada North"
Colombo,Homagama,"Mullegama North"
Colombo,Homagama,"Mullegama South"
Colombo,Homagama,"Habarakada South"
Colombo,Homagama,"Panagoda Town"
Colombo,Homagama,Henawatta
Colombo,Homagama,"Meegoda North"
Colombo,Homagama,Panaluwa
Colombo,Homagama,"Watareka North"
Colombo,Homagama,"Meegoda South"
Colombo,Homagama,"Godagama North"
Colombo,Homagama,"Panagoda West"
Colombo,Homagama,"Panagoda East"
Colombo,Homagama,"Habarakada Watta"
Colombo,Homagama,"Homagama North"
Colombo,Homagama,"Homagama West"
Colombo,Homagama,"Homagama South"
Colombo,Homagama,"Galavilawatta North"
Colombo,Homagama,"Homagama Town"
Colombo,Homagama,"Homagama East"
Colombo,Homagama,"Pitipana Town"
Colombo,Homagama,"Godagama South"
Colombo,Homagama,Kurunduwatta
Colombo,Homagama,Gehenuwala
Colombo,Homagama,"Watareka South"
Colombo,Homagama,Ovitigama
Colombo,Homagama,Kandanawatta
Colombo,Homagama,Kiriberiyakele
Colombo,Homagama,Mawathgama
Colombo,Homagama,Katuwana
Colombo,Homagama,"Galavilawatta South"
Colombo,Homagama,Niyandagala
Colombo,Homagama,Hiripitiya
Colombo,Homagama,Mambulgoda
Colombo,Homagama,Kithulhena
Colombo,Homagama,"Siddamulla North"
Colombo,Homagama,"Siddamulla South"
Colombo,Homagama,"Mattegoda West"
Colombo,Homagama,"Mattegoda Central A"
Colombo,Homagama,"Mattegoda East"
Colombo,Homagama,Brahmanagama
Colombo,Homagama,Deepangoda
Colombo,Homagama,"Magammana West"
Colombo,Homagama,"Magammana East"
Colombo,Homagama,Uduwana
Colombo,Homagama,Prasannapura
Colombo,Homagama,"Pitipana North"
Colombo,Homagama,Suwapubudugama
Colombo,Homagama,"Pitipana South"
Colombo,Homagama,Dolahena
Colombo,Homagama,"Diyagama East"
Colombo,Homagama,"Diyagama West"
Colombo,Homagama,Kirigampamunuwa
Colombo,Homagama,"Mattegoda Central B"
Colombo,Homagama,"Siyambalagoda North"
Colombo,Homagama,Kudamaduwa
Colombo,Homagama,Sangharama
Colombo,Homagama,"Siyambalagoda South"
Colombo,Homagama,Rilawala
Colombo,Homagama,"Kahathuduwa West"
Colombo,Homagama,"Kiriwattuduwa South"
Colombo,Homagama,"Kiriwattuduwa North"
Colombo,Homagama,"Moonamale - Yakahaluwa"
Colombo,Homagama,Kithulavila
Colombo,Homagama,"Kahathuduwa North"
Colombo,Homagama,"Kahathuduwa East"
Colombo,Homagama,"Kahathuduwa South"
Colombo,Homagama,Undurugoda
Colombo,Homagama,Wethara
Colombo,Homagama,Ambalangoda
Colombo,Homagama,Heraliyawala
Colombo,Homagama,Palagama
Colombo,Homagama,weniwelkola
Colombo,Seethawaka,Bollathawa
Colombo,Seethawaka,"Kanampella West"
Colombo,Seethawaka,"Kanampella East"
Colombo,Seethawaka,Manakada
Colombo,Seethawaka,"Eswatta North"
Colombo,Seethawaka,"Kiriwandala North"
Colombo,Seethawaka,Kudagama
Colombo,Seethawaka,Weralupitiya
Colombo,Seethawaka,Seethagama
Colombo,Seethawaka,Avissawella
Colombo,Seethawaka,Ukwatta
Colombo,Seethawaka,"Agra Pedesa"
Colombo,Seethawaka,"Eswatta South"
Colombo,Seethawaka,"Ihala Kosgama North"
Colombo,Seethawaka,Thawalgoda
Colombo,Seethawaka,Muruthagama
Colombo,Seethawaka,Akaravita
Colombo,Seethawaka,Kahatapitiya
Colombo,Seethawaka,"Kalu Aggala"
Colombo,Seethawaka,Salawa
Colombo,Seethawaka,"Pahala Kosgama west"
Colombo,Seethawaka,"Pahala Kosgama East"
Colombo,Seethawaka,"Ihala Kosgama South"
Colombo,Seethawaka,Miriswatta
Colombo,Seethawaka,"Aluth Ambalama"
Colombo,Seethawaka,"Kiriwandala South"
Colombo,Seethawaka,Kotahera
Colombo,Seethawaka,Seethawaka
Colombo,Seethawaka,"Aradhana Kanda"
Colombo,Seethawaka,"Puwakpitiya South"
Colombo,Seethawaka,Puwakpitiya
Colombo,Seethawaka,Egodagama
Colombo,Seethawaka,"Weragolla North"
Colombo,Seethawaka,Hingurala
Colombo,Seethawaka,"Kadugoda North"
Colombo,Seethawaka,Mawalgama
Colombo,Seethawaka,Suduwella
Colombo,Seethawaka,"Gira Imbula"
Colombo,Seethawaka,Walawwatta
Colombo,Seethawaka,"Pahala Hanwella"
Colombo,Seethawaka,"Hanwella Town"
Colombo,Seethawaka,"Ihala Hanwella North"
Colombo,Seethawaka,Niripola
Colombo,Seethawaka,Brandigampala
Colombo,Seethawaka,"Kadugoda South"
Colombo,Seethawaka,"Weragolla South"
Colombo,Seethawaka,Digana
Colombo,Seethawaka,Lahirugama
Colombo,Seethawaka,Mambula
Colombo,Seethawaka,Welikanna
Colombo,Seethawaka,Kahahena
Colombo,Seethawaka,Neluwattuduwa
Colombo,Seethawaka,"Diddeniya North"
Colombo,Seethawaka,"Ihala Hanwella South"
Colombo,Seethawaka,Pahathgama
Colombo,Seethawaka,Jayaweeragoda
Colombo,Seethawaka,Koodaluvila
Colombo,Seethawaka,"Thunnana East"
Colombo,Seethawaka,"Diddeniya South"
Colombo,Seethawaka,Elamalawala
Colombo,Seethawaka,Ilukovita
Colombo,Seethawaka,Koswatta
Colombo,Seethawaka,Pagngnagula
Colombo,Seethawaka,Pelpola
Colombo,Seethawaka,Kudakanda
Colombo,Seethawaka,"Thunnana West"
Colombo,Seethawaka,"Mawathagama West"
Colombo,Seethawaka,"Mawathagama East"
Colombo,Padukka,"Pinnawala North"
Colombo,Padukka,"Pinnawala South"
Colombo,Padukka,"Waga North"
Colombo,Padukka,"Waga East"
Colombo,Padukka,Thummodara
Colombo,Padukka,"Waga South"
Colombo,Padukka,Siyambalawa
Colombo,Padukka,"Pahala Bope"
Colombo,Padukka,Halpe
Colombo,Padukka,"Waga West"
Colombo,Padukka,Uggalla
Colombo,Padukka,Wewelpanawa
Colombo,Padukka,"Pitumpe North"
Colombo,Padukka,"Pitumpe South"
Colombo,Padukka,"Galagedara East"
Colombo,Padukka,"Galagedara North"
Colombo,Padukka,"Galagedara South"
Colombo,Padukka,Padukka
Colombo,Padukka,"Arukwatta North"
Colombo,Padukka,"Arukwatta South"
Colombo,Padukka,Ganegoda
Colombo,Padukka,Angampitiya
Colombo,Padukka,Weragala
Colombo,Padukka,Angamuwa
Colombo,Padukka,Udumulla
Colombo,Padukka,Poregedara
Colombo,Padukka,"Pahala Padukka"
Colombo,Padukka,Liyanwala
Colombo,Padukka,Kurugala
Colombo,Padukka,"Madulawa South"
Colombo,Padukka,"Madulawa North"
Colombo,Padukka,Horakandawala
Colombo,Padukka,Dampe
Colombo,Padukka,Beruketiya
Colombo,Padukka,"Horagala West"
Colombo,Padukka,"Horagala East"
Colombo,Padukka,Beliattavila
Colombo,Padukka,Miriyagalla
Colombo,Padukka,Malagala
Colombo,Padukka,Kahawala
Colombo,Padukka,Yatawathura
Colombo,Padukka,Mahingala
Colombo,Padukka,"Ihala Bope"
Colombo,Padukka,Gurulana
Colombo,Padukka,Udagama
Colombo,Padukka,Dambora
Colombo,Maharagama,"Mirihana South"
Colombo,Maharagama,"Mirihana North"
Colombo,Maharagama,Madiwela
Colombo,Maharagama,"Thalawathugoda West"
Colombo,Maharagama,"Thalawathugoda East"
Colombo,Maharagama,Kalalgoda
Colombo,Maharagama,"Kottawa East"
Colombo,Maharagama,"Rukmale West"
Colombo,Maharagama,"Rukmale East A"
Colombo,Maharagama,"Rukmale East B"
Colombo,Maharagama,Liyanagoda
Colombo,Maharagama,"Kottawa North"
Colombo,Maharagama,Depanama
Colombo,Maharagama,Polwatta
Colombo,Maharagama,Pamunuwa
Colombo,Maharagama,Thalapathpitiya
Colombo,Maharagama,Pragathipura
Colombo,Maharagama,"Udahamulla East"
Colombo,Maharagama,"Udahamulla West"
Colombo,Maharagama,Pathiragoda
Colombo,Maharagama,"Maharagama East"
Colombo,Maharagama,"Maharagama West"
Colombo,Maharagama,Dambahena
Colombo,Maharagama,"Pannipitiya North"
Colombo,Maharagama,"Kottawa West"
Colombo,Maharagama,"Kottawa South"
Colombo,Maharagama,"Malapalla West"
Colombo,Maharagama,"Malapalla East"
Colombo,Maharagama,"Makumbura North"
Colombo,Maharagama,"Makumbura South"
Colombo,Maharagama,"Kottawa Town"
Colombo,Maharagama,"Pannipitiya South"
Colombo,Maharagama,"Maharagama Town"
Colombo,Maharagama,"Godigamuwa South"
Colombo,Maharagama,"Godigamuwa South B"
Colombo,Maharagama,"Godigamuwa North"
Colombo,Maharagama,Wattegedara
Colombo,Maharagama,Navinna
Colombo,Maharagama,Wijerama
